name,website,description,location,category,founded_year,employees,source
Johnson & Johnson Deutschland GmbH,https://www.johnson.de,Johnson & Johnson Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
KfH Kuratorium für Dialyse,https://www.kfhkuratoriumfrdialyse.de,"KfH Kuratorium für Dialyse provides dialysis services and renal care solutions for patients with kidney diseases, operating dialysis centers and manufacturing related medical equipment.",Germany,Dialysis & Renal Care,,,Curated German Healthcare Database
Nephrocare Deutschland GmbH,https://www.nephrocaredeutschland.de,"Nephrocare Deutschland GmbH provides dialysis services and renal care solutions for patients with kidney diseases, operating dialysis centers and manufacturing related medical equipment.",Germany,Dialysis & Renal Care,,,Curated German Healthcare Database
Guerbet Deutschland GmbH,https://www.guerbetdeutschland.de,Guerbet Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Gilead Sciences Deutschland GmbH,https://www.gileadsciencesdeutschland.de,Gilead Sciences Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Siemens Healthcare Diagnostics GmbH,https://www.siemenshealthcarediagnostics.de,"Siemens Healthcare Diagnostics GmbH is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.","Munich, Germany",Medical Technology,,,Curated German Healthcare Database
Carl Zeiss Meditec AG,https://www.carlzeissmeditec.de,"Carl Zeiss Meditec AG is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.","Jena, Germany",Medical Technology,,,Curated German Healthcare Database
UCB Deutschland GmbH,https://www.ucbdeutschland.de,UCB Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Celgene Deutschland GmbH,https://www.celgenedeutschland.de,Celgene Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Carl Zeiss AG,https://www.carlzeiss.de,"Carl Zeiss AG is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.","Jena, Germany",Medical Technology,,,Curated German Healthcare Database
Beckman Coulter Deutschland GmbH,https://www.beckmancoulterdeutschland.de,Beckman Coulter Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Diaverum Deutschland GmbH,https://www.diaverumdeutschland.de,Diaverum Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Hexal AG,https://www.hexal.de,Hexal AG provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,"Holzkirchen, Germany",Healthcare Services,,,Curated German Healthcare Database
Vertex Pharmaceuticals Deutschland GmbH,https://www.vertexpharmaceuticalsdeutschland.de,"Vertex Pharmaceuticals Deutschland GmbH is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.",Germany,Pharmaceuticals,,,Curated German Healthcare Database
Fresenius Medical Care AG,https://www.freseniusmedicalcare.de,"Fresenius Medical Care AG is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.","Bad Homburg, Germany",Medical Technology,,,Curated German Healthcare Database
Sanofi Deutschland GmbH,https://www.sanofideutschland.de,Sanofi Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
MorphoSys AG,https://www.morphosys.de,MorphoSys AG is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,"Martinsried, Germany",Biotechnology,,,Curated German Healthcare Database
Biotronik SE & Co. KG,https://www.biotronik.de,Biotronik SE & Co. KG is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,"Berlin, Germany",Biotechnology,,,Curated German Healthcare Database
Biogen Deutschland GmbH,https://www.biogendeutschland.de,Biogen Deutschland GmbH is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,Germany,Biotechnology,,,Curated German Healthcare Database
