name,website,description,location,category,subcategory,founded_year,employees,funding_amount,funding_stage,revenue,ceo,email,phone,linkedin,twitter,products,technology_stack,certifications,partnerships,awards,press_mentions,data_quality_score,last_updated,source,validation_status
HealthTEC.SG,https://www.healthtec.sg,Members/Partners Domain Experts Wearable Technology Artificial Intelligence VR/AR Medical Informatics Signals/Image Processing Tele Health Mental Health Gerontology Robotics Biosensors Membership Events Contact Us Ecosystem Innovations CONTACT US Accelerating health tech innovations through collaborations LEARN MORE LEARN MORE LEARN MORE LEARN MORE LEARN MORE Join Our Mailing List Subscribe to our newsletter for latest updates and information. (function() { window.mc4wp = window.,Europe,Wellness,Digital Therapeutics,,,,Seed,,of StretchSkin,contact@healthtec.sg,61501480889044,https://www.linkedin.com/company/healthtecsg/,,our services and wonderful team In many of the past HealthTEC.,"java, ai, ml",ce 2025,"Image Processing Tele Health Mental Health Gerontology Robotics Biosensors Membership Events Contact Us Ecosystem Innovations CONTACT US Accelerating health tech innovations through, have forged several, exemplary leadership to facilitate",,Featured in media coverage,96.0,2025-07-13 08:52:21,https://www.healthtec.sg,validated
deepcOS - The Radiology AI Operating System,https://www.deepc.ai/,OS® Hub Centralized control and support for your deepcOS® environment Gate Securely connect to your Healthcare IT systems and the AI Marketplace.,Munich USA,Healthcare IT,Medical Devices,,,,,,Avez Rizvi,contact@deepc.ai,1724871835,https://www.linkedin.com/company/deepchealth/,https://twitter.com/deepchealth?lang=en,the product deepcOS AIDA (v2.,"java, ai, ml",,"leading industry experts Blog Latest industry updates, cost effective and scalable way Orchestration Ensure scans are automatically sent to the right AI solution AI Marketplace Access commercial AI solutions from leading vendors Clinical Integrations Seamlessly integrate AI results with existing interfaces Data Privacy Ensure PHI remains private and under your control AI Evaluator Compare the performance of AI solutions for the same use case Why deepcOS CLINICAL INSTITUTIONS Radiologists Enrich your radiology workflow with AI Healthcare Management Generating attractive ROI with simplified AI deployment Data Protection Officers Ensure personal health information is secure Medical Research Groups Enabling medical imaging and AI research projects IT Departments Streamlining AI integration into the existing infrastructure Chief Information Officers Transforming your HIT with unparalleled information security and data governance PARTNERS AI, at scale HIT System Providers Enhance your medical imaging systems with leading AI Distribution Channels Strategically differentiate your business with AI AI Portfolio Events Learn FAQ Find simple answers to frequently asked questions about deepcOS Webinars Watch educational webinars created in",,Featured in media coverage,92.0,2025-07-13 08:47:37,https://www.deepc.ai/,validated
Doctolib | Buchen Sie Ihren Arzt- oder Therapietermin online,https://www.doctolib.de/,adding it. if (loadedInIframeOtherThanDoctolib) { const cookieDesc = Object.,"Berlin, Deutschland",Wellness,Nutrition,,,,IPO,,,paul.mustermann@mail.com,017331010203,https://www.linkedin.com/company/doctolib,,"our software to be able to share to the DMP\"",\""failed_cps_authentication\"":\""CPS-Authentifizierung fehlgeschlagen\"",\""closed_error_message\"":\""Patient closed his DMP\"",\""dmp_non_existent\"":\""DMP does","java, react, ai, ml","IEC 27001, IEC 27701, Sécurité, the","Getrennter, Verwitweter, Ihr Arzt ist",,Featured in media coverage,92.0,2025-07-13 08:48:24,https://www.doctolib.de/,validated
Nect,https://www.nect.com/,Reference Press Careers at Nect Careers at Nect Support Business enquiry NECT NECT Products All Products Nect Ident Nect Sign eID Function Company About Us Reference Press Careers at Nect Careers at Nect Support Business enquiry Your digital identity – made by Nect We are shaping the future of digital identity. Trust in Nect's unique technology. View product Our Product Nect Ident.,by Germany,Digital Health,AI/ML Healthcare,,,,,,and CEO,home-product@2x.png,1331065474,https://www.linkedin.com/company/nect.com/,https://twitter.com/nicetonectyou,Our Product Nect Ident.,ai,,the Venture Capital Fonds ALSTIN Capital with Managing, View product Trusted and,Featured in media coverage,92.0,2025-07-13 08:51:52,https://www.nect.com/,validated
Produktionsoptimierung | Nuveon Gmbh,https://www.nuveon.de/,Nuveon GmbH bietet IIoT Lösungen für alle Produktions- und Vertriebsschritte,"Munich, Germany",Digital Health,Healthcare Technology,,,,IPO,,,support@nuveon.de,2545352419,https://www.linkedin.com/company/nuveon-gmbh,https://twitter.com/nuveon?lang=en,"our App"",""name"":""Responsive Support"",""id"":""7f401445-f13e-4b93-8266-b51640c2aa48""},{""description"":""Add up to 3 slides for free or an unlimited number of slides to your site to show more inviting pictur","java, react, aws, ai, ml",,ssiger,"de\/"",""currLangIsOriginal"":true,""homePageTitle"":""Home"",""businessName"":""nuveon GmbH"",""businesDescription"":""Nuveon is a full-service provider for",Featured in media coverage,88.0,2025-07-13 08:47:35,https://www.nuveon.de/,validated
Telehealth &amp; Telemedicine Provider | Teladoc Health,https://www.teladoc.com/,Explore career opportunities and resources for providers. Clinical Leadership Who we are Meet our leadership team and explore their roles.,Europe,Wellness,Telemedicine,,,,,,of the,,2147483647,https://www.linkedin.com/company/teladoc-health,https://www.twitter.com/teladochealth,Our Approach Connected Care Partners Resource Center Events About Us Our Impact Contact Us Achieving diabetes remission A1c levels with complete cardiometabolic health support Read more Clinicians Our,"java, aws, ai, ml",,"Organizations, Health Systems Enabling virtual care at scale from hospital to home Solutions Overview Virtual Care Platform Emergency Services Telestroke Inpatient Services Virtual Nursing Virtual Sitting Outpatient Services Devices Explore Our Approach Connected Care", Mental Health member Watch this short video Recent,Featured in media coverage,88.0,2025-07-13 08:47:58,https://www.teladoc.com/,validated
"VR Therapy for Clinics, Rehab Centers &amp; Practices",https://cureosity.com/,"Careers Privacy policy Contact Imprint ©2025 CUREosity GmbH Terms Privacy Cookies document.addEventListener('DOMContentLoaded', function() { var kontaktButton = document.getElementById('kontakt-button'); if (kontaktButton) { kontaktButton.",Germany and,Healthcare Services,Rehabilitation,,,,,,,info@cureosity.de,63063165468668,https://www.linkedin.com/company/cureosity-gmbh/,,"the system enables flexible and resource efficient therapy planning in individual, group, or parallel sessions.",ai,,,,Featured in media coverage,88.0,2025-07-13 08:48:04,https://cureosity.com/,validated
Telehealth &amp; Telemedicine Provider | Teladoc Health,https://www.teladochealth.com,Explore career opportunities and resources for providers. Clinical Leadership Who we are Meet our leadership team and explore their roles.,Europe,Wellness,Telemedicine,,,,,,of the,,2147483647,https://www.linkedin.com/company/teladoc-health,https://www.twitter.com/teladochealth,Our Approach Connected Care Partners Resource Center Events About Us Our Impact Contact Us Achieving diabetes remission A1c levels with complete cardiometabolic health support Read more Clinicians Our,"java, aws, ai, ml",,"Organizations, Health Systems Enabling virtual care at scale from hospital to home Solutions Overview Virtual Care Platform Emergency Services Telestroke Inpatient Services Virtual Nursing Virtual Sitting Outpatient Services Devices Explore Our Approach Connected Care", Mental Health member Watch this short video Recent,Featured in media coverage,88.0,2025-07-13 08:48:43,https://www.teladochealth.com,validated
Homepage - Feedback Medical,https://www.feedbackmedical.com/,"we provided the GP’s perspective to the team from the beginning. Our feedback was key to shaping the end-to-end process which is now streamlined, straightforward and well executed.",Europe,Digital Health,Interoperability,,,,,,,sales@fbkmed.com,1744189800,https://www.linkedin.com/company/feedback-medical-ltd,https://twitter.com/FBKmed,our service in our emergency department&#8230; Any reduction in the time taken to review patients and help to improve their journey through the hospital is crucial when every second counts.,"ai, ml",,"colleagues, This supports more flexible, robust secure and compliant chat function enabling asynchronous",,Featured in media coverage,88.0,2025-07-13 08:51:05,https://www.feedbackmedical.com/,validated
Homepage - Feedback Medical,https://www.feedbackmedical.com,"we provided the GP’s perspective to the team from the beginning. Our feedback was key to shaping the end-to-end process which is now streamlined, straightforward and well executed.",Europe,Digital Health,Interoperability,,,,,,,sales@fbkmed.com,1744189800,https://www.linkedin.com/company/feedback-medical-ltd,https://twitter.com/FBKmed,our service in our emergency department&#8230; Any reduction in the time taken to review patients and help to improve their journey through the hospital is crucial when every second counts.,"ai, ml",,"colleagues, This supports more flexible, robust secure and compliant chat function enabling asynchronous",,Featured in media coverage,88.0,2025-07-13 08:51:11,https://www.feedbackmedical.com,validated
